timestamp,anomaly_alerts,COMPOSITION@SPS,UNIX_NETWORK@SPS,JVM@CONF,JVM@SPS,JVM@HIST,CENTOS@SPS,CENTOS@HIST,details
54.0,3,0,0,0,1,0,2,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|
55.0,10,2,0,0,0,0,8,0,SPSDetector@Activated Virtual Pages|SPSDetector@Cached Memory|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@Activated Virtual Pages|SPSDetector@Inactive Files|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@Active Files|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|
56.0,3,0,0,0,1,0,2,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|
57.0,3,0,0,0,1,0,2,0,SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@CurrentThreadUserTime|
58.0,3,0,0,0,1,0,2,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|
59.0,0,0,0,0,0,0,0,0,
60.0,0,0,0,0,0,0,0,0,
61.0,1,0,0,0,1,0,0,0,SPSDetector@ProcessCpuLoad|
62.0,9,3,0,0,1,0,5,0,SPSDetector@Buffers|SPSDetector@ProcessCpuLoad|SPSDetector@Active Files|SPSDetector@Buffers|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@Active Files|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|
63.0,3,0,0,0,0,0,3,0,SPSDetector@PageOut|SPSDetector@Buffers|SPSDetector@Active Files|
64.0,0,0,0,0,0,0,0,0,
65.0,5,3,2,0,0,0,0,0,SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)/(Buffers#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|
